0.003571,0.350947,-0.00639,0.936367,-0.323317,0.668544,0.371976
0.003507,0.350928,-0.006561,0.936373,-0.323319,0.668546,0.371978
0.003483,0.350902,-0.006466,0.936384,-0.32332,0.668547,0.371975
0.003447,0.350912,-0.006632,0.936379,-0.323323,0.668544,0.371971
-0.003489,-0.350951,0.006545,-0.936364,-0.323325,0.668549,0.371965
-0.00341,-0.350877,0.006482,-0.936393,-0.323328,0.668554,0.371961
-0.003477,-0.350859,0.006629,-0.936398,-0.32333,0.668558,0.371958
-0.003497,-0.350902,0.006516,-0.936383,-0.323328,0.668554,0.371952
-0.003444,-0.350872,0.006509,-0.936394,-0.323325,0.668554,0.371957
-0.003428,-0.350865,0.006536,-0.936397,-0.323325,0.668554,0.371951
-0.003406,-0.350869,0.006646,-0.936395,-0.323326,0.668557,0.371954
-0.003461,-0.350923,0.006732,-0.936374,-0.323324,0.668559,0.371952
-0.003441,-0.350933,0.006582,-0.936371,-0.32332,0.668554,0.371957
-0.003464,-0.350902,0.006602,-0.936383,-0.323322,0.668557,0.371961
-0.003461,-0.350885,0.006548,-0.936389,-0.323317,0.668553,0.371962
-0.003463,-0.350904,0.006569,-0.936382,-0.323315,0.668556,0.371967
-0.003565,-0.350957,0.006616,-0.936362,-0.323308,0.66855,0.371971
-0.003496,-0.350906,0.006514,-0.936381,-0.323305,0.668553,0.371976
-0.003561,-0.350929,0.006599,-0.936372,-0.323303,0.668555,0.371979
-0.003466,-0.350888,0.006502,-0.936389,-0.323305,0.668556,0.371977
-0.003496,-0.350922,0.00653,-0.936375,-0.323306,0.668556,0.371974
-0.00354,-0.350922,0.006519,-0.936375,-0.323305,0.668555,0.371976
-0.003479,-0.351013,0.006627,-0.936341,-0.323306,0.668554,0.37197
-0.003495,-0.350955,0.006652,-0.936362,-0.32331,0.668556,0.371968
-0.00357,-0.350938,0.006681,-0.936368,-0.323315,0.668556,0.371962
-0.003513,-0.350888,0.006619,-0.936387,-0.323316,0.668558,0.371963
-0.003541,-0.350899,0.006735,-0.936382,-0.323317,0.668555,0.37196
-0.003568,-0.350944,0.006524,-0.936367,-0.323313,0.668558,0.371964
-0.003597,-0.350929,0.006606,-0.936372,-0.323315,0.668554,0.371963
-0.003513,-0.350934,0.006543,-0.936371,-0.323317,0.668555,0.371969
-0.003474,-0.35093,0.006543,-0.936373,-0.323312,0.668556,0.371969
-0.003464,-0.350936,0.006582,-0.93637,-0.323311,0.668555,0.371974
-0.003504,-0.350944,0.006552,-0.936367,-0.323309,0.668555,0.371974
-0.003478,-0.35097,0.006515,-0.936358,-0.323306,0.668553,0.371979
-0.003471,-0.350945,0.006531,-0.936367,-0.323298,0.668556,0.371981
-0.003487,-0.350904,0.006611,-0.936382,-0.323294,0.668559,0.371985
-0.003508,-0.350925,0.006614,-0.936374,-0.323292,0.668557,0.371983
