Format Version,1.23,Take Name,Imu data1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-10-23 10.49.27.971 AM,Total Frames in Take,3036,Total Exported Frames,3036,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.003410,-0.350877,0.006482,-0.936393,-0.323328,0.668554,0.371961,0.000221,-0.322338,0.670066,0.352507,0.910617,-0.325797,0.670261,0.386624,0.961031,-0.339474,0.670414,0.370850,0.974389,-0.305703,0.663477,0.377865,0.898904,0.521131,0.003495,-0.019871,0.112891,0.571485,0.120266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322106,0.670047,0.352777,-0.325828,0.670388,0.386709,-0.339476,0.670309,0.370848,-0.305902,0.663473,0.377512
7,0.070000,-0.003477,-0.350859,0.006629,-0.936398,-0.323330,0.668558,0.371958,0.000221,-0.322338,0.670069,0.352505,0.911007,-0.325799,0.670264,0.386621,0.960884,-0.339475,0.670423,0.370846,0.973691,-0.305707,0.663474,0.377862,0.898739,0.521123,0.003506,-0.019877,0.112896,0.571477,0.120260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322104,0.670048,0.352779,-0.325827,0.670389,0.386704,-0.339488,0.670321,0.370842,-0.305900,0.663472,0.377508
8,0.080000,-0.003497,-0.350902,0.006516,-0.936383,-0.323328,0.668554,0.371952,0.000220,-0.322338,0.670068,0.352499,0.909476,-0.325796,0.670259,0.386615,0.961874,-0.339474,0.670416,0.370842,0.974489,-0.305703,0.663473,0.377854,0.899164,0.521119,0.003509,-0.019880,0.112897,0.571481,0.120250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322106,0.670049,0.352770,-0.325825,0.670387,0.386700,-0.339480,0.670311,0.370839,-0.305900,0.663469,0.377501
9,0.090000,-0.003444,-0.350872,0.006509,-0.936394,-0.323325,0.668554,0.371957,0.000219,-0.322335,0.670066,0.352503,0.910523,-0.325794,0.670260,0.386620,0.960907,-0.339471,0.670415,0.370845,0.973636,-0.305701,0.663474,0.377860,0.899098,0.521118,0.003487,-0.019867,0.112897,0.571469,0.120242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322101,0.670045,0.352773,-0.325824,0.670386,0.386704,-0.339479,0.670312,0.370844,-0.305896,0.663472,0.377508
10,0.100000,-0.003428,-0.350865,0.006536,-0.936397,-0.323325,0.668554,0.371951,0.000221,-0.322335,0.670065,0.352497,0.910580,-0.325794,0.670260,0.386613,0.961406,-0.339471,0.670415,0.370839,0.974227,-0.305701,0.663474,0.377854,0.899157,0.521120,0.003496,-0.019859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322102,0.670046,0.352768,-0.325826,0.670389,0.386699,-0.339476,0.670310,0.370836,-0.305897,0.663469,0.377500
11,0.110000,-0.003406,-0.350869,0.006646,-0.936395,-0.323326,0.668557,0.371954,0.000217,-0.322335,0.670066,0.352500,0.910593,-0.325795,0.670266,0.386616,0.960486,-0.339472,0.670422,0.370842,0.973606,-0.305703,0.663475,0.377858,0.898839,0.521127,0.003495,-0.019877,0.112896,0.571481,0.120244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322103,0.670047,0.352767,-0.325825,0.670394,0.386700,-0.339479,0.670318,0.370841,-0.305898,0.663471,0.377507
12,0.120000,-0.003461,-0.350923,0.006732,-0.936374,-0.323324,0.668559,0.371952,0.000219,-0.322335,0.670069,0.352498,0.911175,-0.325791,0.670268,0.386615,0.961137,-0.339469,0.670427,0.370842,0.973870,-0.305701,0.663473,0.377854,0.899640,0.521124,0.003496,-0.019873,0.112898,0.571469,0.120241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322100,0.670048,0.352768,-0.325820,0.670394,0.386704,-0.339481,0.670325,0.370838,-0.305895,0.663470,0.377500
13,0.130000,-0.003441,-0.350933,0.006582,-0.936371,-0.323320,0.668554,0.371957,0.000221,-0.322332,0.670065,0.352503,0.909783,-0.325787,0.670261,0.386620,0.961213,-0.339466,0.670417,0.370847,0.973933,-0.305695,0.663472,0.377858,0.898143,0.521125,0.003495,-0.019870,0.112899,0.571479,0.120250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322096,0.670044,0.352775,-0.325816,0.670388,0.386704,-0.339473,0.670313,0.370845,-0.305894,0.663470,0.377503
14,0.140000,-0.003464,-0.350902,0.006602,-0.936383,-0.323322,0.668557,0.371961,0.000219,-0.322332,0.670068,0.352506,0.910571,-0.325789,0.670264,0.386623,0.961987,-0.339467,0.670421,0.370850,0.974577,-0.305698,0.663474,0.377863,0.899778,0.521121,0.003506,-0.019875,0.112904,0.571462,0.120238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322100,0.670047,0.352778,-0.325816,0.670388,0.386707,-0.339478,0.670320,0.370846,-0.305892,0.663473,0.377512
15,0.150000,-0.003461,-0.350885,0.006548,-0.936389,-0.323317,0.668553,0.371962,0.000218,-0.322327,0.670066,0.352508,0.910327,-0.325786,0.670260,0.386625,0.961950,-0.339463,0.670416,0.370851,0.974361,-0.305693,0.663472,0.377865,0.898966,0.521125,0.003500,-0.019874,0.112907,0.571474,0.120246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.322092,0.670045,0.352778,-0.325816,0.670385,0.386706,-0.339471,0.670314,0.370852,-0.305890,0.663471,0.377512
